,V1
HH1,Cluster number
HH2,Household number
LN,Line number
WM1,Cluster number
WM2,Household number
WM4,Woman's line number
WM5,Interviewer number
WM6D,Day of interview
WM6M,Month of interview
WM6Y,Year of interview
WM7,Result of woman's interview
WM8,Field editor
WM9,Data entry clerk
WM10H,Start of interview - Hour
WM10M,Start of interview - Minutes
WM11H,End of interview - Hour
WM11M,End of interview - Minutes
WB1M,Month of birth of woman
WB1Y,Year of birth of woman
WB2,Age of woman
WB3,Ever attended school
WB4,Highest level of school attended
WB5,Highest grade completed at that level
WB7,Can read part of the sentence
WDOI,Date of interview women (CMC)
WB2C,Age of respondent (calculated)
WAGE,Age
MT0,Own a mobile phone or use one as your own
MT1B,Ever used mobile phone to read or write SMS messages
MT1C,Frequency of reading/writing SMS messages
MT2,Frequency of reading newspaper or magazine
MT3,Frequency of listening to the radio
MT4,Frequency of watching TV
MT6,Ever used a computer
MT7,Computer usage in the last 12 months
MT8,Frequency of computer usage in the last month
MT9,Ever used internet
MT10,Internet usage in the last 12 months
MT11,Frequency of Internet usage in the past month
CM1,Ever given birth
CM4,Any sons or daughters living with you
CM5A,Sons living with you
CM5B,Daughters living with you
CM6,Any sons or daughters not living with you
CM7A,Sons living elsewhere
CM7B,Daughters living elsewhere
CM8,Ever had child who later died
CM9A,Boys dead
CM9B,Girls dead
CM10,Children ever born
CTOT,Check total number of children ever born
CM12M,Month of last birth
CM12Y,Year of last birth
CM13,Last birth in last two years
DB1,Wanted last child then
DB2,Wanted child later or did not want more children
DB3U,Desired waiting time (units)
DB3N,Desired waiting time (number)
MN1,Received antenatal care
MN2A,Antenatal care: Doctor
MN2B,Antenatal care: Nurse / Midwife
MN2F,Antenatal care: Traditional birth attendant
MN2G,Antenatal care: Village health worker
MN2X,Antenatal care: Other
MN2AU,Weeks or months pregnant at first ANC - unit
MN2AN,Weeks or months pregnant at first ANC - number
MN3,Times received antenatal care
MN4A,Blood pressure
MN4B,Urine sample
MN4C,Blood sample
MN4D,Iron Folic Supplements
MN4E,Any iron folic supplements during last pregnancy
MN4F,Number of months took iron folic supplements during last pregnancy
MN5,Has own immunization card
MN6,Any tetanus toxoid injection during last pregnancy
MN7,Doses of tetanus toxoid during last pregnancy
MN9,Any tetanus toxoid injection before last pregnancy
MN10,Doses of tetanus toxoid before last pregnancy
MN11,Years ago last tetanus toxoid received
MN17A,Assistance at delivery: Doctor
MN17B,Assistance at delivery: Nurse / Midwife
MN17F,Assistance at delivery: Traditional birth attendant
MN17G,Assistance at delivery: Village health worker
MN17H,Assistance at delivery: Relative / Friend
MN17X,Assistance at delivery: Other
MN17Y,Assistance at delivery: No one
MN18,Place of delivery
MN19,Delivery by caesarean section
MN19A,Decision for caesarean made before the onset of labour or after
MN20,Size of child at birth
MN21,Child weighed at birth
MN22A,Weight from card or recall
