"tinh","huyen","xa","diaban","hoso","m4b31ma","m4b31c3","m4b31c4","m4b31c5","m4b32c7","m4b32c8","m4b32c9","m4b32c10","m4b32c11","m4b32c12","m4b32c13","m4b32c14","m4b32c15","m4b32c16","m4b32c17"
"101","06","27","002",13,"Cµy xíi, lµm ®Êt",4,30000,120000,0,100,92500,500,750,0,15000,0,0,0,108850
"101","15","19","005",15,"Cµy xíi, lµm ®Êt",5,500,2500,0,9,0,0,0,0,0,0,0,0,9
"101","21","31","015",15,"Cµy xíi, lµm ®Êt",2,15000,30000,0,100,8000,3900,2566,0,2000,0,0,100,16666
"101","21","31","015",15,"Tuèt lóa, s¬ chÕ SP",2,6750,13500,0,100,5000,900,800,0,0,0,0,100,6900
"103","11","07","003",15,"Tuèt lóa, s¬ chÕ SP",2,600,1200,0,0,310,90,200,0,0,0,0,0,600
"103","11","27","019",15,"Cµy xíi, lµm ®Êt",4,2000,8000,0,0,1800,100,185,0,2000,0,0,0,4085
"103","15","11","002",14,"Cµy xíi, lµm ®Êt",2,15000,30000,3500,200,9000,400,1500,0,3000,0,0,200,17800
"103","19","09","001",13,"Phßng trõ s©u bÖnh",12,300,3600,0,100,0,0,100,0,0,0,0,0,200
"103","19","09","001",13,"Cµy xíi, lµm ®Êt",2,800,1600,0,50,300,120,200,0,0,0,0,0,670
"103","19","45","017",14,"Cµy xíi, lµm ®Êt",4,500,2000,0,100,300,100,200,0,0,0,0,0,700
"105","05","15","005",14,"Cµy xíi, lµm ®Êt",4,500,2000,250,50,0,50,100,0,0,0,0,0,450
"105","05","31","007",15,"DV kh¸c",12,300,3600,300,100,300,0,300,0,0,0,0,100,1100
"105","07","19","013",13,"Cµy xíi, lµm ®Êt",2,8500,17000,700,600,3600,1000,200,0,2000,0,0,60,8160
"105","15","13","003",15,"Tuèt lóa, s¬ chÕ SP",2,3000,6000,0,0,900,100,500,0,0,0,0,0,1500
"105","21","45","008",15,"Cµy xíi, lµm ®Êt",3,750,2250,0,25,0,0,500,0,0,0,0,0,525
"105","23","29","003",20,"Tuèt lóa, s¬ chÕ SP",2,6000,12000,0,0,1700,200,200,0,2000,300,0,400,4800
